iter	Passed	Remaining
923	4725	388
924	4730	383
925	4734	378
926	4739	373
927	4744	368
928	4748	362
929	4752	357
930	4757	352
931	4761	347
932	4766	342
933	4770	337
934	4775	331
935	4779	326
936	4784	321
937	4788	316
938	4793	311
939	4797	306
940	4802	301
941	4806	295
942	4810	290
943	4815	285
944	4819	280
945	4823	275
946	4828	270
947	4832	265
948	4837	259
949	4841	254
950	4846	249
951	4849	244
952	4854	239
953	4858	234
954	4863	229
955	4867	224
956	4872	218
957	4876	213
958	4880	208
959	4884	203
960	4889	198
961	4894	193
962	4898	188
963	4902	183
964	4907	177
965	4911	172
966	4915	167
967	4920	162
968	4924	157
969	4929	152
970	4933	147
971	4938	142
972	4942	137
973	4947	132
974	4952	126
975	4957	121
976	4961	116
977	4967	111
978	4972	106
979	4976	101
980	4982	96
981	4987	91
982	4992	86
983	4997	81
984	5002	76
985	5007	71
986	5011	66
987	5016	60
988	5020	55
989	5025	50
990	5030	45
991	5036	40
992	5041	35
993	5046	30
994	5051	25
995	5056	20
996	5061	15
997	5066	10
998	5071	5
999	5076	0
